cityName,Latitude,Longitude
Burgenland,47.15371649999999,16.2688797
Kärnten,46.722203,14.1805882
Niederösterreich,48.10807699999999,15.8049558
Oberösterreich,48.025854,13.9723665
Salzburg,47.80949,13.05501
Steiermark,47.3593442,14.4699827
Tirol,47.2537414,11.601487
Vorarlberg,47.2497427,9.9797373
Wien,48.2081743,16.3738189
Eisenstadt(Stadt),47.84637,16.52796
Rust(Stadt),47.80238,16.67218
Eisenstadt-Umgebung,47.88080189999999,16.6721389
Güssing,47.05932,16.32449
Jennersdorf,46.93712,16.12961
Mattersburg,47.73625,16.39663
Neusiedl am See,47.94736,16.84537
Oberpullendorf,47.49497,16.50879
Oberwart,47.29481999999999,16.19914
Klagenfurt Stadt,46.6364598,14.3122246
Villach Stadt,46.60856,13.85062
Hermagor,46.62739209999999,13.3711996
Klagenfurt Land,46.5183927,14.2362941
Sankt Veit an der Glan,46.76748,14.36151
Spittal an der Drau,46.79968,13.4928
Villach Land,46.666381,13.677109
Völkermarkt,46.66207,14.63359
Wolfsberg,46.8401,14.84277
Feldkirchen,46.7267407,14.0888806
Krems an der Donau(Stadt),48.40999,15.60384
Sankt Pölten(Stadt),48.20353,15.63817
Waidhofen an der Ybbs(Stadt),47.96023,14.77283
Wiener Neustadt(Stadt),47.80278999999999,16.23318
Amstetten,48.12502,14.86934
Baden,48.00214,16.23091
Bruck an der Leitha,48.02375,16.77534
Gänserndorf,48.34067,16.71754
Gmünd,48.77156,14.98511
Hollabrunn,48.5625696,16.0787228
Horn,48.66607,15.65716
Korneuburg,48.34472,16.3314901
Krems(Land),48.5151184,15.5211175
Lilienfeld,48.0180638,15.5945498
Melk,48.22647,15.34996
Mistelbach,48.56742999999999,16.5722
Mödling,48.08255,16.2869
Neunkirchen,47.72607,16.08121
Sankt Pölten(Land),48.1531837,15.7737047
Scheibbs,48.00804,15.16781
Tulln,48.3314949,16.060737
Waidhofen an der Thaya,48.81547,15.2833
Wiener Neustadt(Land),47.8380251,16.1327874
Zwettl,48.6058353,15.1662692
Linz(Stadt),48.30694,14.28583
Steyr(Stadt),48.05009,14.41827
Wels(Stadt),48.16542,14.03664
Braunau am Inn,48.25573,13.04432
Eferding,48.30878999999999,14.02023
Freistadt,48.50217,14.50201
Gmunden,47.91839,13.79933
Grieskirchen,48.23587,13.82617
Kirchdorf an der Krems,47.90626,14.11983
Linz-Land,48.1679636,14.2926786
Perg,48.24992,14.63474
Ried im Innkreis,48.21272,13.49272
Rohrbach,48.5724264,13.9892409
Schärding,48.46051,13.43268
Steyr-Land,47.9159873,14.5224199
Urfahr-Umgebung,48.4392995,14.2368317
Vöcklabruck,48.00334,13.65613
Wels-Land,48.0861783,13.9750791
Salzburg(Stadt),47.80949,13.05501
Hallein,47.68248000000001,13.10037
Salzburg-Umgebung,47.8394807,13.1750587
Sankt Johann im Pongau,47.34892,13.20419
Tamsweg,47.12954999999999,13.81036
Zell am See,47.32351999999999,12.79685
Graz(Stadt),47.070714,15.439504
Deutschlandsberg,46.81595000000001,15.21338
Graz-Umgebung,47.1657838,15.333565
Leibnitz,46.79043,15.56207
Leoben,47.37639,15.09113
Liezen,47.56741,14.24315
Murau,47.11304,14.16904
Voitsberg,47.043268,15.1536329
Weiz,47.21717,15.62297
Murtal,47.1687763,14.6600396
Bruck-Mürzzuschlag,47.59689230000001,15.4054145
Hartberg-Fürstenfeld,47.2815,15.97302
Südoststeiermark,46.8885229,15.8936247
Innsbruck-Stadt,47.2692124,11.4041024
Imst,47.24013,10.73954
Innsbruck-Land,47.1217918,11.342985
Kitzbühel,47.4492375,12.3925407
Kufstein,47.58237,12.16275
Landeck,47.14057,10.56558
Lienz,46.82769,12.76272
Reutte,47.48878999999999,10.71865
Schwaz,47.3484102,11.707729
Bludenz,47.15991,9.808209999999999
Bregenz,47.50075,9.74231
Dornbirn,47.4124,9.743789999999999
Feldkirch,47.24128,9.601899999999999
Bartholomäberg,47.0920103,9.908393
Blons,47.22324,9.83634
Bludesch,47.1996464,9.747138399999999
Brand,47.1050039,9.739889699999999
Bürs,47.1514259,9.8052488
Bürserberg,47.1467886,9.7777356
Dalaas,47.1230292,9.996223100000002
Fontanella,47.24775469999999,9.9101599
Gaschurn,46.9858102,10.0265864
Innerbraz,47.1436937,9.919525199999999
